anio_emision,prima_emitida,anio_siniestro,monto_siniestro
2008,6078666717.8769,,
2009,5410571898.65828,,
2010,5699796754.43228,,
2011,7238161225.19979,,
2012,8594971339.74475,,
2013,8574784756.53941,,
2014,9030415349.57446,,
2015,9764295001.02829,,
2008,,2009,452962006.053937
2008,,2010,294155988.493567
2008,,2011,69471940.4371575
2008,,2012,20048402.2701963
2008,,2013,3529409.695119
2008,,2014,727211.9524428
2008,,2015,1227625.7781678
2009,,2010,626736646.144065
2009,,2011,97193633.779341
2009,,2012,82319203.791792
2009,,2013,26351612.474517
2009,,2014,4741215.817041
2009,,2015,5762570.4803106
2010,,2011,500221509.979792
2010,,2012,164193945.739296
2010,,2013,71932962.620178
2010,,2014,26112591.852336
2010,,2015,6530779.5430152
2011,,2012,684126342.393608
2011,,2013,31105225.5359835
2011,,2014,116418507.270239
2011,,2015,36969196.7989872
2012,,2013,499179704.664901
2012,,2014,189804200.377572
2012,,2015,96658653.1797216
2013,,2014,1558775291.58916
2013,,2015,58280376.7931022
2014,,2015,767414811.250791


